# The uncovered count per declarative class that scripts/ratchet.sh will not let
# grow. Uncovered is scored minus behavioural: a mutation caught only by a pinned
# snapshot is uncovered, because the snapshot noticed the catalog move and nothing
# refused anything.
#
# Not a percentage. A percentage rises when the denominator grows, so a phase that
# added thirty uncovered policies to a class holding two would improve its score.
#
# The logic class is not here. It is gated site by site instead, against
# docs/review/refusal-sites.tsv and docs/review/refusal-dispositions.tsv, because a
# count would let a covered site be traded for an uncovered one.
#
# The middle column is what the enumeration produced, including the mutations
# that turn out to be degenerate or inapplicable and are excluded from the score.
# It is there so a class that vanishes is named in the failure message.
#
# Re-baselined by W-10 after 0028 and 0031. The gains are locked in rather than
# left as headroom, which is what a ratchet is for: weaken went from 33 uncovered
# to none and policy from 42 to 32, because narrowing three blanket reads in 0028
# gave 33 weaken mutations something to be caught by. A baseline left at the old
# numbers would permit losing all of that silently.
#
# class	enumerated	uncovered
check	22	0
loosen	22	0
unique	17	10
trigger	9	0
policy	59	32
weaken	59	0
rls	23	0
